fighter,event,event_date,fighter_1,weight_class,fighter_2,fight_format,number_of_rounds,length_of_fight,fighter_1_outcome,fighter_2_outcome,fight_outcome_method,fighter_1_tot_kd,fighter_1_tot_sig.str,fighter_1_tot_sig.str%,fighter_1_tot_ss_head,fighter_1_tot_ss_bod,fighter_1_tot_ss_leg,fighter_1_tot_ss_dist,fighter_1_tot_ss_clinch,fighter_1_tot_ss_grnd,fighter_2_tot_kd,fighter_2_tot_sig.str,fighter_2_tot_sig.str%,fighter_2_tot_ss_head,fighter_2_tot_ss_bod,fighter_2_tot_ss_leg,fighter_2_tot_ss_dist,fighter_2_tot_ss_clinch,fighter_2_tot_ss_grnd
Josh Neer,UFC Fight Night: Lauzon vs Stephens,"Feb. 07, 2009",Josh Neer,Lightweight Bout,Mac Danzig,3 Rnd (5-5-5),2,3:36,W,L,Submission,0,46 of 96,47%,17 of 51,12 of 15,5 of 5,12 of 35,22 of 36,0 of 0,1,33 of 66,50%,20 of 44,7 of 9,3 of 4,19 of 41,11 of 15,0 of 1
Josh Neer,UFC 157: Rousey vs Carmouche,"Feb. 23, 2013",Court McGee,Welterweight Bout,Josh Neer,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,166 of 334,49%,47 of 110,17 of 25,10 of 10,61 of 120,8 of 12,5 of 13,0,63 of 152,41%,11 of 39,1 of 1,3 of 3,15 of 43,0 of 0,0 of 0
Josh Neer,UFC Live: Cruz vs Johnson,"Oct. 01, 2011",Josh Neer,Welterweight Bout,Keith Wisniewski,3 Rnd (5-5-5),2,5:00,W,L,TKO - Doctor's Stoppage,0,93 of 159,58%,23 of 63,7 of 7,5 of 6,24 of 59,11 of 17,0 of 0,0,41 of 83,49%,14 of 43,10 of 11,0 of 1,12 of 40,12 of 15,0 of 0
Geoff Neal,UFC Fight Night: Cerrone vs. Medeiros,"Feb. 18, 2018",Geoff Neal,Welterweight Bout,Brian Camozzi,3 Rnd (5-5-5),1,2:48,W,L,Submission,0,14 of 31,45%,11 of 28,1 of 1,2 of 2,14 of 31,0 of 0,0 of 0,0,7 of 29,24%,3 of 22,2 of 5,2 of 2,7 of 28,0 of 1,0 of 0
Josh Neer,UFC on FX: Browne vs Bigfoot,"Oct. 05, 2012",Josh Neer,Welterweight Bout,Justin Edwards,3 Rnd (5-5-5),1,0:45,L,W,Submission,0,0 of 0,---,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0,6 of 7,85%,4 of 5,1 of 1,1 of 1,6 of 7,0 of 0,0 of 0
Geoff Neal,UFC Fight Night: Thompson vs. Neal,"Dec. 19, 2020",Stephen Thompson,Welterweight Bout,Geoff Neal,5 Rnd (5-5-5-5-5),5,5:00,W,L,Decision - Unanimous,0,171 of 406,42%,15 of 54,7 of 9,3 of 3,25 of 66,0 of 0,0 of 0,0,85 of 179,47%,6 of 29,0 of 0,1 of 1,7 of 29,0 of 1,0 of 0
Geoff Neal,UFC 285: Jones vs. Gane,"Mar. 04, 2023",Geoff Neal,Welterweight Bout,Shavkat Rakhmonov,3 Rnd (5-5-5),3,4:17,L,W,Submission,0,69 of 145,47%,27 of 51,1 of 1,1 of 2,23 of 47,6 of 7,0 of 0,0,113 of 179,63%,26 of 44,17 of 20,0 of 0,32 of 50,11 of 14,0 of 0
Geoff Neal,UFC 228: Woodley vs. Till,"Sep. 08, 2018",Geoff Neal,Welterweight Bout,Frank Camacho,3 Rnd (5-5-5),2,1:23,W,L,KO/TKO,2,59 of 102,57%,34 of 66,3 of 4,0 of 0,29 of 58,1 of 2,7 of 10,0,25 of 57,43%,7 of 24,9 of 12,3 of 3,18 of 37,1 of 2,0 of 0
Nicolae Negumereanu,UFC 281: Adesanya vs. Pereira,"Nov. 12, 2022",Carlos Ulberg,Light Heavyweight Bout,Nicolae Negumereanu,3 Rnd (5-5-5),1,3:44,W,L,KO/TKO,1,14 of 23,60%,8 of 15,2 of 2,4 of 6,12 of 20,0 of 0,2 of 3,0,2 of 14,14%,0 of 7,1 of 4,1 of 3,2 of 14,0 of 0,0 of 0
Nicolae Negumereanu,UFC Fight Night: Till vs. Masvidal,"Mar. 16, 2019",Nicolae Negumereanu,Light Heavyweight Bout,Saparbeg Safarov,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,11 of 27,40%,2 of 5,3 of 7,2 of 2,3 of 6,4 of 8,0 of 0,0,70 of 86,81%,12 of 15,1 of 1,4 of 6,7 of 10,4 of 6,6 of 6
Nicolae Negumereanu,UFC Fight Night: Costa vs. Vettori,"Oct. 23, 2021",Nicolae Negumereanu,Light Heavyweight Bout,Ike Villanueva,3 Rnd (5-5-5),1,1:18,W,L,KO/TKO,0,11 of 21,52%,8 of 18,0 of 0,3 of 3,7 of 14,1 of 1,3 of 6,0,7 of 21,33%,5 of 19,2 of 2,0 of 0,7 of 20,0 of 1,0 of 0
Nicolae Negumereanu,UFC Fight Night: Jung vs. Ige,"Jun. 19, 2021",Aleksa Camur,Light Heavyweight Bout,Nicolae Negumereanu,3 Rnd (5-5-5),3,5:00,L,W,Decision - Split,0,102 of 148,68%,29 of 53,9 of 12,1 of 1,34 of 60,5 of 6,0 of 0,0,71 of 193,36%,29 of 76,0 of 2,0 of 0,25 of 70,4 of 8,0 of 0
Steve Nelmark,UFC - Ultimate Ultimate '96,"Dec. 07, 1996",David Abbott,Open Weight Bout,Steve Nelmark,1 Rnd + OT (12-3),1,1:03,W,L,KO/TKO,1,9 of 17,52%,9 of 17,0 of 0,0 of 0,1 of 1,8 of 16,0 of 0,0,2 of 2,100%,1 of 1,1 of 1,0 of 0,1 of 1,1 of 1,0 of 0
Shane Nelson,UFC 107: Penn vs Sanchez,"Dec. 12, 2009",Matt Wiman,Lightweight Bout,Shane Nelson,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,55 of 130,42%,16 of 39,5 of 5,7 of 13,10 of 26,12 of 20,6 of 11,0,20 of 85,23%,7 of 36,2 of 4,2 of 4,10 of 35,1 of 9,0 of 0
Bobby Nash,UFC Fight Night: Nelson vs. Ponzinibbio,"Jul. 16, 2017",Danny Roberts,Welterweight Bout,Bobby Nash,3 Rnd (5-5-5),2,3:59,W,L,KO/TKO,1,24 of 65,36%,4 of 23,3 of 4,3 of 3,7 of 26,3 of 3,0 of 1,0,25 of 63,39%,7 of 25,3 of 8,1 of 2,7 of 28,4 of 7,0 of 0
Rodrigo Nascimento,UFC Fight Night: Moraes vs. Sandhagen,"Oct. 10, 2020",Chris Daukaus,Heavyweight Bout,Rodrigo Nascimento,3 Rnd (5-5-5),1,0:45,W,L,KO/TKO,2,13 of 21,61%,13 of 21,0 of 0,0 of 0,6 of 11,0 of 0,7 of 10,0,1 of 4,25%,0 of 3,0 of 0,1 of 1,1 of 4,0 of 0,0 of 0
Reza Nasri,UFC 11: The Proving Ground,"Sep. 20, 1996",Brian Johnston,Open Weight Bout,Reza Nasri,1 Rnd (15),1,0:28,W,L,KO/TKO,0,6 of 8,75%,5 of 7,1 of 1,0 of 0,0 of 0,1 of 2,5 of 6,0,0 of 0,---,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
Roger Narvaez,UFC Fight Night: Henderson vs Khabilov,"Jun. 07, 2014",Patrick Cummins,Light Heavyweight Bout,Roger Narvaez,3 Rnd (5-5-5),2,2:28,W,L,KO/TKO,0,32 of 55,58%,12 of 22,0 of 1,1 of 1,3 of 10,2 of 2,8 of 12,0,3 of 22,13%,2 of 13,0 of 0,0 of 1,2 of 14,0 of 0,0 of 0
Roger Narvaez,UFC Fight Night: Edgar vs Swanson,"Nov. 22, 2014",Luke Barnatt,Middleweight Bout,Roger Narvaez,3 Rnd (5-5-5),3,5:00,L,W,Decision - Split,0,34 of 130,26%,3 of 38,4 of 8,4 of 4,11 of 50,0 of 0,0 of 0,1,48 of 110,43%,7 of 29,5 of 5,3 of 5,15 of 39,0 of 0,0 of 0
Rodrigo Nascimento,UFC Fight Night: Overeem vs. Harris,"May. 16, 2020",Rodrigo Nascimento,Heavyweight Bout,Don'Tale Mayes,3 Rnd (5-5-5),2,2:05,W,L,Submission,0,32 of 52,61%,8 of 25,4 of 5,9 of 9,18 of 35,2 of 2,1 of 2,0,27 of 48,56%,6 of 22,2 of 3,8 of 8,15 of 31,1 of 2,0 of 0
Roger Narvaez,UFC 185: Pettis vs Dos Anjos,"Mar. 14, 2015",Elias Theodorou,Middleweight Bout,Roger Narvaez,3 Rnd (5-5-5),2,4:07,W,L,KO/TKO,0,39 of 113,34%,6 of 35,5 of 12,5 of 11,12 of 52,4 of 6,0 of 0,0,16 of 49,32%,6 of 26,4 of 6,2 of 4,12 of 36,0 of 0,0 of 0
Nad Narimani,UFC Fight Night: Shogun vs. Smith,"Jul. 22, 2018",Khalid Taha,Featherweight Bout,Nad Narimani,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,32 of 57,56%,6 of 12,1 of 1,4 of 4,8 of 13,3 of 4,0 of 0,0,45 of 69,65%,7 of 17,3 of 7,2 of 2,5 of 17,0 of 1,7 of 8
Yasuhito Namekawa,PRIDE Bushido 2,"Feb. 15, 2004",Yasuhito Namekawa,Middleweight Bout,Egidijus Valavicius,2 Rnd (10-5),1,1:05,W,L,Submission,0,0 of 0,---,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0,0 of 4,0%,0 of 4,0 of 0,0 of 0,0 of 4,0 of 0,0 of 0
Yusaku Nakamura,DREAM - Fight for Japan,"May. 29, 2011",Yusaku Nakamura,Bantamweight Bout,Atsushi Yamamoto,2 Rnd (10-5),1,8:43,L,W,KO/TKO,1,15 of 33,45%,15 of 33,0 of 0,0 of 0,13 of 29,0 of 0,2 of 4,0,32 of 72,44%,27 of 67,5 of 5,0 of 0,3 of 17,0 of 0,29 of 55
Nad Narimani,UFC Fight Night: Magny vs. Ponzinibbio,"Nov. 17, 2018",Nad Narimani,Featherweight Bout,Anderson Dos Santos,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,84 of 186,45%,19 of 68,4 of 6,8 of 9,27 of 79,4 of 4,0 of 0,0,46 of 170,27%,11 of 63,2 of 3,4 of 4,16 of 69,1 of 1,0 of 0
Jutaro Nakao,UFC 33: Victory in Vegas,"Sep. 28, 2001",Jutaro Nakao,Welterweight Bout,Tony DeSouza,3 Rnd (5-5-5),2,0:15,W,L,KO/TKO,1,8 of 8,100%,0 of 0,0 of 0,3 of 3,3 of 3,0 of 0,0 of 0,0,1 of 5,20%,0 of 1,0 of 1,1 of 1,0 of 1,1 of 2,0 of 0
Rinya Nakamura,UFC Fight Night: Holloway vs. The Korean Zombie,"Aug. 26, 2023",Rinya Nakamura,Bantamweight Bout,Fernie Garcia,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,36 of 57,63%,3 of 5,4 of 6,2 of 2,4 of 6,0 of 0,5 of 7,0,15 of 66,22%,2 of 5,1 of 1,0 of 2,1 of 6,0 of 0,2 of 2
Rinya Nakamura,UFC Fight Night: Lewis vs. Spivac,"Feb. 04, 2023",Toshiomi Kazama,Bantamweight Bout,Rinya Nakamura,3 Rnd + OT (5-5-5-5),1,0:33,L,W,KO/TKO,0,4 of 10,40%,4 of 10,0 of 0,0 of 0,4 of 10,0 of 0,0 of 0,2,11 of 25,44%,11 of 25,0 of 0,0 of 0,10 of 24,0 of 0,1 of 1
Yasuhito Namekawa,PRIDE Bushido 5,"Oct. 14, 2004",Mauricio Rua,Middleweight Bout,Yasuhito Namekawa,2 Rnd (10-5),1,6:02,W,L,KO/TKO,1,26 of 38,68%,25 of 37,1 of 1,0 of 0,2 of 2,1 of 3,23 of 33,0,1 of 2,50%,0 of 1,1 of 1,0 of 0,0 of 1,1 of 1,0 of 0
Rinya Nakamura,Road to UFC 1.3,"Jun. 10, 2022",Rinya Nakamura,Bantamweight Bout,Gugun Gusman,3 Rnd + OT (5-5-5-5),1,3:24,W,L,Submission,0,21 of 36,58%,20 of 33,1 of 3,0 of 0,1 of 13,0 of 0,20 of 23,0,3 of 11,27%,1 of 9,2 of 2,0 of 0,3 of 11,0 of 0,0 of 0
Kazuhiro Nakamura,PRIDE Bushido 1,"Oct. 05, 2003",Kazuhiro Nakamura,Heavyweight Bout,Daniel Gracie,2 Rnd (10-5),2,5:00,W,L,Decision - Unanimous,0,29 of 68,42%,10 of 32,2 of 2,0 of 1,5 of 15,1 of 2,6 of 18,0,18 of 86,20%,4 of 30,2 of 2,1 of 3,5 of 29,2 of 6,0 of 0
Kazuhiro Nakamura,PRIDE Bushido 3,"May. 23, 2004",Kazuhiro Nakamura,Open Weight Bout,Chalid Arrab,2 Rnd (10-5),1,4:45,W,L,Submission,0,1 of 12,8%,1 of 12,0 of 0,0 of 0,1 of 12,0 of 0,0 of 0,0,7 of 31,22%,7 of 31,0 of 0,0 of 0,2 of 19,0 of 1,5 of 11
Kazuhiro Nakamura,PRIDE Total Elimination 2005,"Apr. 23, 2005",Kazuhiro Nakamura,Middleweight Bout,Kevin Randleman,3 Rnd (10-5-5),3,5:00,W,L,Decision - Unanimous,0,30 of 61,49%,1 of 14,7 of 9,1 of 2,1 of 14,5 of 7,3 of 4,0,9 of 12,75%,2 of 3,2 of 2,0 of 0,0 of 1,2 of 2,2 of 2
Kazuhiro Nakamura,PRIDE 27: Inferno,"Feb. 01, 2004",Kazuhiro Nakamura,Heavyweight Bout,Dos Caras Jr.,3 Rnd (10-5-5),3,5:00,W,L,Decision - Unanimous,0,22 of 58,37%,5 of 21,0 of 0,0 of 0,3 of 13,0 of 0,2 of 8,0,16 of 65,24%,3 of 14,2 of 4,4 of 9,4 of 17,4 of 5,1 of 5
Kazuhiro Nakamura,PRIDE Final Conflict 2004,"Aug. 15, 2004",Kazuhiro Nakamura,Open Weight Bout,Murilo Bustamante,3 Rnd (10-5-5),3,5:00,W,L,Decision - Unanimous,0,28 of 87,32%,6 of 35,3 of 4,2 of 2,4 of 22,3 of 5,4 of 14,0,15 of 46,32%,5 of 21,3 of 4,1 of 1,3 of 15,6 of 10,0 of 1
Kazuhiro Nakamura,PRIDE 28: High Octane,"Oct. 31, 2004",Dan Henderson,Open Weight Bout,Kazuhiro Nakamura,3 Rnd (10-5-5),1,1:15,W,L,KO/TKO,0,7 of 8,87%,5 of 6,2 of 2,0 of 0,3 of 3,1 of 2,3 of 3,0,4 of 5,80%,0 of 0,1 of 1,3 of 4,4 of 5,0 of 0,0 of 0
Kazuhiro Nakamura,PRIDE Critical Countdown 2005,"Jun. 26, 2005",Wanderlei Silva,Middleweight Bout,Kazuhiro Nakamura,3 Rnd (10-5-5),1,5:24,W,L,KO/TKO,2,29 of 63,46%,23 of 54,2 of 2,4 of 7,14 of 46,4 of 4,11 of 13,0,8 of 43,18%,5 of 40,2 of 2,1 of 1,6 of 40,1 of 2,1 of 1
Kazuhiro Nakamura,PRIDE 31: Unbreakable,"Feb. 26, 2006",Josh Barnett,Heavyweight Bout,Kazuhiro Nakamura,3 Rnd (10-5-5),1,8:10,W,L,Submission,0,21 of 41,51%,8 of 27,13 of 14,0 of 0,5 of 22,7 of 9,9 of 10,0,1 of 17,5%,1 of 17,0 of 0,0 of 0,1 of 16,0 of 0,0 of 1
Kazuhiro Nakamura,PRIDE Shockwave 2005,"Dec. 31, 2005",Kazuhiro Nakamura,Open Weight Bout,Yuki Kondo,3 Rnd (10-5-5),3,5:00,W,L,Decision - Unanimous,0,43 of 96,44%,19 of 42,8 of 9,0 of 0,3 of 5,2 of 2,22 of 44,1,27 of 61,44%,7 of 13,0 of 1,1 of 1,2 of 4,0 of 0,6 of 11
Kazuhiro Nakamura,PRIDE Final Conflict 2005,"Aug. 28, 2005",Kazuhiro Nakamura,Middleweight Bout,Igor Vovchanchyn,3 Rnd (10-5-5),2,5:00,W,L,Decision - Unanimous,0,4 of 16,25%,1 of 8,2 of 2,0 of 0,0 of 4,0 of 0,3 of 6,0,9 of 22,40%,3 of 9,5 of 5,0 of 0,1 of 4,0 of 1,7 of 9
Kazuhiro Nakamura,PRIDE Shockwave 2006,"Dec. 31, 2006",Mauricio Rua,Middleweight Bout,Kazuhiro Nakamura,3 Rnd (10-5-5),3,5:00,W,L,Decision - Unanimous,0,68 of 132,51%,13 of 33,11 of 17,13 of 16,7 of 20,21 of 33,9 of 13,0,25 of 75,33%,9 of 31,0 of 0,0 of 0,5 of 18,4 of 11,0 of 2
Kazuhiro Nakamura,UFC 84: Ill Will,"May. 24, 2008",Rameau Thierry Sokoudjou,Light Heavyweight Bout,Kazuhiro Nakamura,3 Rnd (5-5-5),1,5:00,W,L,KO/TKO,1,26 of 46,56%,7 of 27,6 of 6,13 of 13,20 of 40,4 of 4,2 of 2,0,6 of 23,26%,1 of 18,5 of 5,0 of 0,6 of 23,0 of 0,0 of 0
Kazuhiro Nakamura,PRIDE Critical Countdown Absolute,"Jul. 01, 2006",Kazuhiro Nakamura,Middleweight Bout,Evangelista Santos,3 Rnd (10-5-5),1,4:49,W,L,Submission,0,12 of 20,60%,12 of 19,0 of 0,0 of 1,1 of 3,0 of 0,11 of 17,0,0 of 2,0%,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0
Keita Nakamura,UFC Fight Night: Stevenson vs Guillard,"Apr. 05, 2007",Drew Fickett,Welterweight Bout,Keita Nakamura,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,79 of 174,45%,13 of 29,16 of 19,1 of 1,2 of 5,21 of 28,7 of 16,0,32 of 88,36%,5 of 15,2 of 2,0 of 0,1 of 2,3 of 5,3 of 10
Kazuhiro Nakamura,PRIDE 32: The Real Deal,"Oct. 21, 2006",Kazuhiro Nakamura,Middleweight Bout,Travis Galbraith,3 Rnd (5-5-5),2,1:16,W,L,KO/TKO,2,11 of 40,27%,6 of 25,0 of 1,0 of 0,2 of 17,0 of 0,4 of 9,0,11 of 41,26%,6 of 23,1 of 1,1 of 1,6 of 22,0 of 1,2 of 2
Kazuhiro Nakamura,DREAM 17,"Sep. 24, 2011",Kazuhiro Nakamura,Middleweight Bout,Gerald Harris,3 Rnd (5-5-5),3,5:00,L,W,Decision - Split,0,28 of 62,45%,0 of 11,4 of 5,5 of 5,5 of 14,4 of 7,0 of 0,0,30 of 80,37%,9 of 20,7 of 9,1 of 2,6 of 18,11 of 13,0 of 0
Keita Nakamura,UFC 81: Breaking Point,"Feb. 02, 2008",Rob Emerson,Lightweight Bout,Keita Nakamura,3 Rnd (5-5-5),3,5:00,W,L,Decision - Split,0,81 of 212,38%,14 of 53,6 of 7,9 of 9,28 of 68,1 of 1,0 of 0,1,57 of 191,29%,12 of 60,0 of 0,0 of 0,9 of 57,3 of 3,0 of 0
Keita Nakamura,UFC Fight Night: Lineker vs. Dodson,"Oct. 01, 2016",Keita Nakamura,Welterweight Bout,Elizeu Zaleski dos Santos,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,24 of 58,41%,7 of 13,0 of 1,0 of 0,1 of 6,1 of 1,5 of 7,0,34 of 120,28%,5 of 18,2 of 3,1 of 1,4 of 16,3 of 5,1 of 1
Keita Nakamura,UFC Fight Night: Silva vs Bisping,"Feb. 27, 2016",Tom Breese,Welterweight Bout,Keita Nakamura,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,32 of 59,54%,10 of 18,3 of 5,2 of 2,10 of 18,5 of 7,0 of 0,0,6 of 16,37%,4 of 6,2 of 4,0 of 2,6 of 12,0 of 0,0 of 0
Keita Nakamura,UFC Fight Night: Dos Santos vs. Tuivasa,"Dec. 01, 2018",Keita Nakamura,Welterweight Bout,Salim Touahri,3 Rnd (5-5-5),3,5:00,W,L,Decision - Split,1,41 of 97,42%,6 of 20,0 of 1,1 of 2,7 of 23,0 of 0,0 of 0,0,34 of 79,43%,3 of 13,5 of 6,3 of 3,10 of 21,1 of 1,0 of 0
Daisuke Nakamura,PRIDE Bushido 12,"Aug. 27, 2006",Daisuke Nakamura,Lightweight Bout,Seichi Ikemoto,2 Rnd (5-5),1,3:36,W,L,Submission,0,1 of 4,25%,1 of 4,0 of 0,0 of 0,1 of 3,0 of 1,0 of 0,0,2 of 8,25%,1 of 6,1 of 2,0 of 0,0 of 2,1 of 1,1 of 5
Daisuke Nakamura,DREAM 7: Featherweight Grand Prix 2009 1st Round,"Mar. 08, 2009",Mitsuhiro Ishida,Lightweight Bout,Daisuke Nakamura,2 Rnd (10-5),2,5:00,W,L,Decision - Unanimous,0,16 of 30,53%,13 of 24,1 of 1,2 of 3,2 of 6,0 of 0,14 of 22,0,4 of 27,14%,2 of 16,0 of 2,0 of 1,2 of 19,0 of 0,0 of 0
Daisuke Nakamura,DREAM 3: Lightweight Grand Prix 2008 2nd Round,"May. 11, 2008",Daisuke Nakamura,Lightweight Bout,Bu-Kyung Jung,2 Rnd (10-5),2,1:05,W,L,KO/TKO,2,23 of 57,40%,8 of 37,5 of 6,2 of 2,8 of 30,1 of 1,6 of 14,0,17 of 37,45%,9 of 26,2 of 2,4 of 4,7 of 19,3 of 6,5 of 7
Keita Nakamura,UFC Fight Night: Saint Preux vs. Okami,"Sep. 22, 2017",Keita Nakamura,Welterweight Bout,Alex Morono,3 Rnd (5-5-5),3,5:00,W,L,Decision - Split,0,27 of 86,31%,1 of 11,4 of 4,2 of 2,7 of 17,0 of 0,0 of 0,0,38 of 123,30%,7 of 38,1 of 2,0 of 0,8 of 40,0 of 0,0 of 0
Keita Nakamura,UFC Fight Night: Overeem vs. Oleinik,"Apr. 20, 2019",Sultan Aliev,Welterweight Bout,Keita Nakamura,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,25 of 63,39%,10 of 20,1 of 1,0 of 0,7 of 14,4 of 7,0 of 0,0,29 of 81,35%,5 of 18,4 of 7,1 of 1,7 of 22,3 of 4,0 of 0
Daisuke Nakamura,PRIDE Bushido 6,"Apr. 03, 2005",Marcus Aurelio,Lightweight Bout,Daisuke Nakamura,2 Rnd (10-5),2,5:00,W,L,Decision - Unanimous,0,10 of 23,43%,4 of 11,0 of 0,1 of 1,3 of 10,0 of 0,2 of 2,0,4 of 20,20%,1 of 4,0 of 0,0 of 1,1 of 5,0 of 0,0 of 0
Daisuke Nakamura,Dynamite!! 2008,"Dec. 31, 2008",Daisuke Nakamura,Featherweight Bout,Hideo Tokoro,2 Rnd (10-5),1,2:23,W,L,Submission,0,0 of 1,0%,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,0,0 of 0,---,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
Daisuke Nakamura,DREAM - Fight for Japan,"May. 29, 2011",Katsunori Kikuno,Lightweight Bout,Daisuke Nakamura,2 Rnd (10-5),2,5:00,W,L,Decision - Unanimous,0,42 of 131,32%,29 of 87,1 of 1,1 of 1,23 of 76,4 of 6,4 of 7,0,28 of 88,31%,15 of 50,5 of 6,1 of 1,18 of 52,2 of 4,1 of 1
Rin Nakai,UFC Fight Night: Hunt vs Nelson,"Sep. 20, 2014",Miesha Tate,Women's Bantamweight Bout,Rin Nakai,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,55 of 116,47%,16 of 39,12 of 15,3 of 4,17 of 38,14 of 18,0 of 2,0,16 of 47,34%,5 of 18,3 of 7,2 of 2,5 of 15,5 of 10,0 of 2
Rin Nakai,UFC Fight Night: Hunt vs Mir,"Mar. 19, 2016",Leslie Smith,Women's Bantamweight Bout,Rin Nakai,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,62 of 181,34%,24 of 87,5 of 6,0 of 0,28 of 91,1 of 2,0 of 0,0,31 of 92,33%,17 of 40,4 of 8,1 of 2,17 of 44,5 of 6,0 of 0
Jutaro Nakao,DEEP 16,"Oct. 30, 2004",Shinya Aoki,Welterweight Bout,Jutaro Nakao,3 Rnd (5-5-5),1,4:29,L,W,KO/TKO,0,4 of 10,40%,3 of 9,1 of 1,0 of 0,1 of 5,0 of 0,3 of 5,1,5 of 7,71%,5 of 7,0 of 0,0 of 0,2 of 4,0 of 0,3 of 3
Rinya Nakamura,UFC 298: Volkanovski vs. Topuria,"Feb. 17, 2024",Rinya Nakamura,Bantamweight Bout,Carlos Vera,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,38 of 70,54%,11 of 26,4 of 4,1 of 1,3 of 3,0 of 0,13 of 28,0,12 of 25,48%,4 of 6,0 of 0,2 of 2,3 of 4,0 of 0,3 of 4
Jutaro Nakao,PRIDE Bushido 8,"Jul. 17, 2005",Marcus Aurelio,Lightweight Bout,Jutaro Nakao,2 Rnd (10-5),2,5:00,W,L,Decision - Unanimous,0,16 of 31,51%,8 of 17,3 of 4,2 of 2,3 of 8,5 of 6,5 of 9,0,4 of 19,21%,3 of 11,1 of 2,0 of 0,1 of 6,0 of 0,3 of 7
Yoshihiro Nakao,PRIDE Final Conflict Absolute,"Sep. 10, 2006",Kazuhiro Nakamura,Heavyweight Bout,Yoshihiro Nakao,3 Rnd (10-5-5),3,5:00,W,L,Decision - Unanimous,0,61 of 169,36%,18 of 64,9 of 11,0 of 1,22 of 66,5 of 10,0 of 0,0,30 of 108,27%,9 of 37,4 of 6,1 of 3,11 of 37,3 of 8,0 of 1
Jutaro Nakao,UFC 36: Worlds Collide,"Mar. 22, 2002",Sean Sherk,Welterweight Bout,Jutaro Nakao,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,21 of 30,70%,2 of 3,1 of 1,1 of 1,0 of 1,2 of 2,2 of 2,0,4 of 20,20%,0 of 2,2 of 5,0 of 0,0 of 2,2 of 5,0 of 0
Rose Namajunas,UFC 192: Cormier vs Gustafsson,"Oct. 03, 2015",Rose Namajunas,Women's Strawweight Bout,Angela Hill,3 Rnd (5-5-5),1,2:47,W,L,Submission,0,13 of 33,39%,12 of 32,1 of 1,0 of 0,11 of 29,2 of 4,0 of 0,0,12 of 22,54%,8 of 18,2 of 2,2 of 2,9 of 19,3 of 3,0 of 0
Yoshihiro Nakao,PRIDE 34: Kamikaze,"Apr. 08, 2007",Yoshihiro Nakao,Heavyweight Bout,Edson Drago,3 Rnd (10-5-5),1,9:15,W,L,Submission,0,15 of 22,68%,10 of 17,4 of 4,1 of 1,5 of 9,0 of 2,10 of 11,0,8 of 23,34%,4 of 19,4 of 4,0 of 0,4 of 18,4 of 5,0 of 0
Rose Namajunas,The Ultimate Fighter: A Champion Will Be Crowned Finale,,Carla Esparza,UFC Women's Strawweight Title Bout,Rose Namajunas,5 Rnd (5-5-5-5-5),3,1:26,W,L,Submission,0,42 of 90,46%,14 of 45,5 of 8,0 of 1,8 of 36,8 of 15,3 of 3,0,28 of 72,38%,10 of 35,6 of 9,2 of 3,14 of 40,4 of 7,0 of 0
Rose Namajunas,UFC Fight Night: Namajunas vs. VanZant,"Dec. 10, 2015",Rose Namajunas,Women's Strawweight Bout,Paige VanZant,5 Rnd (5-5-5-5-5),5,2:25,W,L,Submission,0,57 of 100,57%,16 of 35,4 of 5,0 of 0,9 of 21,4 of 5,7 of 14,0,10 of 50,20%,0 of 8,0 of 3,2 of 3,2 of 14,0 of 0,0 of 0
Rose Namajunas,UFC on FOX: Teixeira vs Evans,"Apr. 16, 2016",Rose Namajunas,Women's Strawweight Bout,Tecia Torres,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,46 of 156,29%,9 of 41,3 of 5,2 of 3,10 of 41,0 of 2,4 of 6,0,61 of 121,50%,10 of 22,2 of 5,2 of 2,7 of 19,7 of 10,0 of 0
